Summary,Issue Type,Priority,Assignee,Due Date,Epic Name,Description
[Corp] Register Delaware C-Corp (TamamHealth Holdings),Task,Highest,Teny,2026-05-14,Company Formation,"File Delaware C-Corp via Stripe Atlas, Clerky, or local US counsel. Holding entity for IP, equity, international staff. Pre-condition for any SAFE close. Owner: Teny."
[Corp] Register South Sudan Ltd. (operating entity),Task,High,Teny,2026-05-31,Company Formation,"Engage Juba lawyer to register the local operating company. Required for MoH contracts, local bank account, local payroll. Allow 3-4 weeks lead time."
[Corp] Founder vesting agreements (4yr / 1yr cliff),Task,Highest,Teny,2026-05-14,Company Formation,"Sign 4-year vesting with 1-year cliff for all 5 (or 6) founders. Templates available via Stripe Atlas / Clerky. Allocation per April playbook: founders 60-70%, ESOP 12-15%, advisor pool 1-2%, investor reserve 15-25%."
[Corp] Define and reserve ESOP pool (12-15%),Task,High,Teny,2026-05-21,Company Formation,Set aside 12-15% Employee Stock Option Pool at incorporation so first hires (and the 6th team member) can receive equity without a renegotiation later.
[Corp] Operating agreement + IP assignment for all founders,Task,High,Toye,2026-05-21,Company Formation,"Standard IP assignment: every line of code, design, and clinical content created to date is assigned to the C-Corp. Without this, fundraising due diligence stalls."
[Ops] Stand up Notion + Slack + role definitions,Task,High,Toye,2026-05-14,Company Formation,"Notion workspace with: this update doc, role charters, weekly review template, decision log. Slack channels: #general, #eng, #clinical, #ops, #fundraising. Master doc copied in as source of truth."
[Ops] Open business banking + accounting (Xero or QBO),Task,High,Toye,2026-05-21,Company Formation,Mercury or Brex for the C-Corp. Local bank for SS Ltd. Multi-currency (USD + SSP). Bookkeeper on retainer.
[Hiring] Identify and offer 6th team member,Task,High,Teny,2026-05-31,Company Formation,Profile recommendation: senior backend or full-stack engineer to share the hardening load with Valens. Alternative profile: Juba-based implementation lead if Ekow is not local. Onboarded by June 1 ideally.
[Fundraising] Refresh seed deck with current technical state,Task,Highest,Teny,2026-05-14,Fundraising,"10-12 slides. Lead with: ~104k LOC platform, FHIR R4, offline-first, 8 role dashboards, AI diagnosis, RBAC. Honest about: 20 stubbed APIs, mobile scaffold-only, no CI/CD yet — paired with the May 31 cutover plan. Title slide = company; Page 2 = single-line 'why now' for South Sudan."
[Fundraising] Build investor target list (50+ named),Task,High,Teny,2026-05-14,Fundraising,"Tiers: African health-tech focused (Future Africa, Atlantica, Novastar, AAIC, Catalyst Fund, AHL), impact (Mercy Corps Ventures, IFC TechEmerge, GSMA), generalists with health interest. Track in HubSpot Free or Notion. Warm intro path noted for each."
[Fundraising] F&F SAFE round close ($50-150k),Task,Highest,Teny,2026-05-21,Fundraising,YC post-money SAFE template. Cap negotiable; valuation cap suggestion $5-8M post-money. Funds runway through pilot launch. Brief existing network week of May 7.
[Fundraising] Open pre-seed outreach formally,Task,High,Teny,2026-05-28,Fundraising,Target: $500k-$1.5M. Begin warm intros to top 10 funds. First meetings target June. Pilot MOU in hand by mid-June is the milestone that closes.
